字詞名,注音一式
夙負盛名,ㄙㄨˋ　ㄈㄨˋ　ㄕㄥˋ　ㄇㄧㄥˊ
夙興夜寐,ㄙㄨˋ　ㄒㄧㄥ　ㄧㄝˋ　ㄇㄟˋ
夙夜匪懈,ㄙㄨˋ　ㄧㄝˋ　ㄈㄟˇ　ㄒㄧㄝˋ
夙願以償,ㄙㄨˋ　ㄩㄢˋ　ㄧˇ　ㄔㄤˊ
素不相識,ㄙㄨˋ　ㄅㄨˋ　ㄒㄧㄤ　ㄕˋ
素昧平生,ㄙㄨˋ　ㄇㄟˋ　ㄆㄧㄥˊ　ㄕㄥ
素行不良,ㄙㄨˋ　ㄒㄧㄥˋ　ㄅㄨˋ　ㄌㄧㄤˊ
素人畫家,ㄙㄨˋ　ㄖㄣˊ　ㄏㄨㄚˋ　ㄐㄧㄚ
宿命論,ㄙㄨˋ　ㄇㄧㄥˋ　ㄌㄨㄣˋ
速戰速決,ㄙㄨˋ　ㄓㄢˋ　ㄙㄨˋ　ㄐㄩㄝˊ
速賜康,ㄙㄨˋ　ㄙˋ　ㄎㄤ
肅然起敬,ㄙㄨˋ　ㄖㄢˊ　ㄑㄧˇ　ㄐㄧㄥˋ
縮頭縮腦,ㄙㄨㄛ　ㄊㄡˊ　ㄙㄨㄛ　ㄋㄠˇ
縮衣節食,ㄙㄨㄛ　ㄧ　ㄐㄧㄝˊ　ㄕˊ
所費不貲,ㄙㄨㄛˇ　ㄈㄟˋ　ㄅㄨˋ　ㄗ
所得稅,ㄙㄨㄛˇ　ㄉㄜˊ　ㄕㄨㄟˋ
所託非人,ㄙㄨㄛˇ　ㄊㄨㄛ　ㄈㄟ　ㄖㄣˊ
所見所聞,ㄙㄨㄛˇ　ㄐㄧㄢˋ　ㄙㄨㄛˇ　ㄨㄣˊ
所向披靡,ㄙㄨㄛˇ　ㄒㄧㄤˋ　ㄆㄧ　ㄇㄧˇ
所向無敵,ㄙㄨㄛˇ　ㄒㄧㄤˋ　ㄨˊ　ㄉㄧˊ
所作所為,ㄙㄨㄛˇ　ㄗㄨㄛˋ　ㄙㄨㄛˇ　ㄨㄟˊ
所以然,ㄙㄨㄛˇ　ㄧˇ　ㄖㄢˊ
索然無味,ㄙㄨㄛˇ　ㄖㄢˊ　ㄨˊ　ㄨㄟˋ
雖敗猶榮,ㄙㄨㄟ　ㄅㄞˋ　ㄧㄡˊ　ㄖㄨㄥˊ
隨波逐流,ㄙㄨㄟˊ　ㄅㄛ　ㄓㄨˊ　ㄌㄧㄡˊ
隨風搖曳,ㄙㄨㄟˊ　ㄈㄥ　ㄧㄠˊ　ㄧˋ
隨機應變,ㄙㄨㄟˊ　ㄐㄧ　ㄧㄥˋ　ㄅㄧㄢˋ
隨心所欲,ㄙㄨㄟˊ　ㄒㄧㄣ　ㄙㄨㄛˇ　ㄩˋ
隨時隨地,ㄙㄨㄟˊ　ㄕˊ　ㄙㄨㄟˊ　ㄉㄧˋ
隨身聽,ㄙㄨㄟˊ　ㄕㄣ　ㄊㄧㄥ
隨聲附和,ㄙㄨㄟˊ　ㄕㄥ　ㄈㄨˋ　ㄏㄜˋ
隨隨便便,ㄙㄨㄟˊ　ㄙㄨㄟˊ　ㄅㄧㄢˋ　ㄅㄧㄢˋ
隨遇而安,ㄙㄨㄟˊ　ㄩˋ　ㄦˊ　ㄢ
遂其所願,ㄙㄨㄟˋ　ㄑㄧˊ　ㄙㄨㄛˇ　ㄩㄢˋ
碎屍萬段,ㄙㄨㄟˋ　ㄕ　ㄨㄢˋ　ㄉㄨㄢˋ
碎嘴子,ㄙㄨㄟˋ　ㄗㄨㄟˇ　˙ㄗ
歲寒三友,ㄙㄨㄟˋ　ㄏㄢˊ　ㄙㄢ　ㄧㄡˇ
歲月如梭,ㄙㄨㄟˋ　ㄩㄝˋ　ㄖㄨˊ　ㄙㄨㄛ
酸甜苦辣,ㄙㄨㄢ　ㄊㄧㄢˊ　ㄎㄨˇ　ㄌㄚˋ
酸辣湯,ㄙㄨㄢ　ㄌㄚˋ　ㄊㄤ
酸溜溜,ㄙㄨㄢ　ㄌㄧㄡ　ㄌㄧㄡ
酸鹼度,ㄙㄨㄢ　ㄐㄧㄢˇ　ㄉㄨˋ
孫悟空,ㄙㄨㄣ　ㄨˋ　ㄎㄨㄥ
損兵折將,ㄙㄨㄣˇ　ㄅㄧㄥ　ㄓㄜˊ　ㄐㄧㄤˋ
損人利己,ㄙㄨㄣˇ　ㄖㄣˊ　ㄌㄧˋ　ㄐㄧˇ
松鶴延年,ㄙㄨㄥ　ㄏㄜˋ　ㄧㄢˊ　ㄋㄧㄢˊ
松節油,ㄙㄨㄥ　ㄐㄧㄝˊ　ㄧㄡˊ
松材線蟲,ㄙㄨㄥ　ㄘㄞˊ　ㄒㄧㄢˋ　ㄔㄨㄥˊ
鬆了一口氣,ㄙㄨㄥ　˙ㄌㄜ　ㄧ　ㄎㄡˇ　ㄑㄧˋ　（變）ㄙㄨㄥ　˙ㄌㄜ　ㄧˋ　ㄎㄡˇ　ㄑㄧˋ
鬆緊帶,ㄙㄨㄥ　ㄐㄧㄣˇ　ㄉㄞˋ
悚然心驚,ㄙㄨㄥˇ　ㄖㄢˊ　ㄒㄧㄣ　ㄐㄧㄥ
聳人聽聞,ㄙㄨㄥˇ　ㄖㄣˊ　ㄊㄧㄥ　ㄨㄣˊ
宋江陣,ㄙㄨㄥˋ　ㄐㄧㄤ　ㄓㄣˋ
送舊迎新,ㄙㄨㄥˋ　ㄐㄧㄡˋ　ㄧㄥˊ　ㄒㄧㄣ
送秋波,ㄙㄨㄥˋ　ㄑㄧㄡ　ㄅㄛ
送人情,ㄙㄨㄥˋ　ㄖㄣˊ　ㄑㄧㄥˊ
送往迎來,ㄙㄨㄥˋ　ㄨㄤˇ　ㄧㄥˊ　ㄌㄞˊ
阿兵哥,ㄚ　ㄅㄧㄥ　ㄍㄜ
阿摩尼亞,ㄚ　ㄇㄛˊ　ㄋㄧˊ　ㄧㄚˋ
阿米巴,ㄚ　ㄇㄧˇ　ㄅㄚ
阿米巴痢疾,ㄚ　ㄇㄧˇ　ㄅㄚ　ㄌㄧˋ　ㄐㄧˊ
阿拉伯數字,ㄚ　ㄌㄚ　ㄅㄛˊ　ㄕㄨˋ　ㄗˋ
阿修羅,ㄚ　ㄒㄧㄡ　ㄌㄨㄛˊ
阿莎力,ㄚ　ㄕㄚ　ㄌㄧˋ
阿茨海默症,ㄚ　ㄘˊ　ㄏㄞˇ　ㄇㄛˋ　ㄓㄥˋ
阿斯匹靈,ㄚ　ㄙ　ㄆㄧ　ㄌㄧㄥˊ
婀娜多姿,ㄜ　ㄋㄨㄛˊ　ㄉㄨㄛ　ㄗ
俄羅斯方塊,ㄜˊ　ㄌㄨㄛˊ　ㄙ　ㄈㄤ　ㄎㄨㄞˋ
峨嵋山,ㄜˊ　ㄇㄟˊ　ㄕㄢ
峨然矗立,ㄜˊ　ㄖㄢˊ　ㄔㄨˋ　ㄌㄧˋ
鵝卵石,ㄜˊ　ㄌㄨㄢˇ　ㄕˊ
鵝黃色,ㄜˊ　ㄏㄨㄤˊ　ㄙㄜˋ
額手稱慶,ㄜˊ　ㄕㄡˇ　ㄔㄥ　ㄑㄧㄥˋ
惡名昭彰,ㄜˋ　ㄇㄧㄥˊ　ㄓㄠ　ㄓㄤ
惡貫滿盈,ㄜˋ　ㄍㄨㄢˋ　ㄇㄢˇ　ㄧㄥˊ
惡狠狠,ㄜˋ　ㄏㄣˇ　ㄏㄣˇ
惡性循環,ㄜˋ　ㄒㄧㄥˋ　ㄒㄩㄣˊ　ㄏㄨㄢˊ
惡勢力,ㄜˋ　ㄕˋ　ㄌㄧˋ
惡作劇,ㄜˋ　ㄗㄨㄛˋ　ㄐㄩˋ
惡有惡報,ㄜˋ　ㄧㄡˇ　ㄜˋ　ㄅㄠˋ
惡言惡語,ㄜˋ　ㄧㄢˊ　ㄜˋ　ㄩˇ
餓虎撲食,ㄜˋ　ㄏㄨˇ　ㄆㄨ　ㄕˊ
餓虎撲羊,ㄜˋ　ㄏㄨˇ　ㄆㄨ　ㄧㄤˊ
哀鴻遍野,ㄞ　ㄏㄨㄥˊ　ㄅㄧㄢˋ　ㄧㄝˇ
挨家挨戶,ㄞ　ㄐㄧㄚ　ㄞ　ㄏㄨˋ
挨餓受凍,ㄞ　ㄜˋ　ㄕㄡˋ　ㄉㄨㄥˋ
唉聲嘆氣,ㄞ　ㄕㄥ　ㄊㄢˋ　ㄑㄧˋ
矮冬瓜,ㄞˇ　ㄉㄨㄥ　ㄍㄨㄚ
矮個兒,ㄞˇ　ㄍㄜˋㄦ
矮人一截,ㄞˇ　ㄖㄣˊ　ㄧ　ㄐㄧㄝˊ　（變）ㄞˇ　ㄖㄣˊ　ㄧˋ　ㄐㄧㄝˊ
愛不釋手,ㄞˋ　ㄅㄨˋ　ㄕˋ　ㄕㄡˇ　（變）ㄞˋ　ㄅㄨˊ　ㄕˋ　ㄕㄡˇ
愛莫能助,ㄞˋ　ㄇㄛˋ　ㄋㄥˊ　ㄓㄨˋ
愛國獎券,ㄞˋ　ㄍㄨㄛˊ　ㄐㄧㄤˇ　ㄑㄩㄢˋ
愛國者飛彈,ㄞˋ　ㄍㄨㄛˊ　ㄓㄜˇ　ㄈㄟ　ㄉㄢˋ
愛克斯光,ㄞˋ　ㄎㄜˋ　ㄙ　ㄍㄨㄤ
愛恨交織,ㄞˋ　ㄏㄣˋ　ㄐㄧㄠ　ㄓ
愛滋病,ㄞˋ　ㄗ　ㄅㄧㄥˋ
愛屋及烏,ㄞˋ　ㄨ　ㄐㄧˊ　ㄨ
璦琿縣,ㄞˋ　ㄏㄨㄣˊ　ㄒㄧㄢˋ
礙難照辦,ㄞˋ　ㄋㄢˊ　ㄓㄠˋ　ㄅㄢˋ
礙手礙腳,ㄞˋ　ㄕㄡˇ　ㄞˋ　ㄐㄧㄠˇ
凹透鏡,ㄠ　ㄊㄡˋ　ㄐㄧㄥˋ
凹凸不平,ㄠ　ㄊㄨˊ　ㄅㄨˋ　ㄆㄧㄥˊ
嗷嗷待哺,ㄠˊ　ㄠˊ　ㄉㄞˋ　ㄅㄨˇ
熬出頭,ㄠˊ　ㄔㄨ　ㄊㄡˊ
傲視群倫,ㄠˋ　ㄕˋ　ㄑㄩㄣˊ　ㄌㄨㄣˊ
傲視群雄,ㄠˋ　ㄕˋ　ㄑㄩㄣˊ　ㄒㄩㄥˊ
奧林匹克運動會,ㄠˋ　ㄌㄧㄣˊ　ㄆㄧ　ㄎㄜˋ　ㄩㄣˋ　ㄉㄨㄥˋ　ㄏㄨㄟˋ
奧斯卡金像獎,ㄠˋ　ㄙ　ㄎㄚˇ　ㄐㄧㄣ　ㄒㄧㄤˋ　ㄐㄧㄤˇ
奧運會,ㄠˋ　ㄩㄣˋ　ㄏㄨㄟˋ
歐巴桑,ㄡ　ㄅㄚ　ㄙㄤ
歐普藝術,ㄡ　ㄆㄨˇ　ㄧˋ　ㄕㄨˋ
歐吉桑,ㄡ　ㄐㄧˊ　ㄙㄤ
歐洲共同市場,ㄡ　ㄓㄡ　ㄍㄨㄥˋ　ㄊㄨㄥˊ　ㄕˋ　ㄔㄤˇ
偶一為之,ㄡˇ　ㄧ　ㄨㄟˊ　ㄓ
藕斷絲連,ㄡˇ　ㄉㄨㄢˋ　ㄙ　ㄌㄧㄢˊ
嘔心瀝血,ㄡˇ　ㄒㄧㄣ　ㄌㄧˋ　ㄒㄧㄝˇ
安步當車,ㄢ　ㄅㄨˋ　ㄉㄤ　ㄔㄜ
安培小時,ㄢ　ㄆㄟˊ　ㄒㄧㄠˇ　ㄕˊ
安貧樂道,ㄢ　ㄆㄧㄣˊ　ㄌㄜˋ　ㄉㄠˋ
安眠藥,ㄢ　ㄇㄧㄢˊ　ㄧㄠˋ
安非他命,ㄢ　ㄈㄟ　ㄊㄚ　ㄇㄧㄥˋ
安分守己,ㄢ　ㄈㄣˋ　ㄕㄡˇ　ㄐㄧˇ
安胎符,ㄢ　ㄊㄞ　ㄈㄨˊ
安土重遷,ㄢ　ㄊㄨˇ　ㄓㄨㄥˋ　ㄑㄧㄢ
安內攘外,ㄢ　ㄋㄟˋ　ㄖㄤˊ　ㄨㄞˋ
安樂死,ㄢ　ㄌㄜˋ　ㄙˇ
安樂窩,ㄢ　ㄌㄜˋ　ㄨㄛ
安和樂利,ㄢ　ㄏㄜˊ　ㄌㄜˋ　ㄌㄧˋ
安家費,ㄢ　ㄐㄧㄚ　ㄈㄟˋ
安居樂業,ㄢ　ㄐㄩ　ㄌㄜˋ　ㄧㄝˋ
安琪兒,ㄢ　ㄑㄧˊ　ㄦˊ
安全玻璃,ㄢ　ㄑㄩㄢˊ　ㄅㄛ　ㄌㄧˊ
安全帽,ㄢ　ㄑㄩㄢˊ　ㄇㄠˋ
安全門,ㄢ　ㄑㄩㄢˊ　ㄇㄣˊ
安全帶,ㄢ　ㄑㄩㄢˊ　ㄉㄞˋ
安全島,ㄢ　ㄑㄩㄢˊ　ㄉㄠˇ
安全梯,ㄢ　ㄑㄩㄢˊ　ㄊㄧ
安全感,ㄢ　ㄑㄩㄢˊ　ㄍㄢˇ
安全氣囊,ㄢ　ㄑㄩㄢˊ　ㄑㄧˋ　ㄋㄤˊ
安息日,ㄢ　ㄒㄧˊ　ㄖˋ
安享天年,ㄢ　ㄒㄧㄤˇ　ㄊㄧㄢ　ㄋㄧㄢˊ
安之若素,ㄢ　ㄓ　ㄖㄨㄛˋ　ㄙㄨˋ
安身立命,ㄢ　ㄕㄣ　ㄌㄧˋ　ㄇㄧㄥˋ
安然無恙,ㄢ　ㄖㄢˊ　ㄨˊ　ㄧㄤˋ
胺基酸,ㄢ　ㄐㄧ　ㄙㄨㄢ
按兵不動,ㄢˋ　ㄅㄧㄥ　ㄅㄨˋ　ㄉㄨㄥˋ　（變）ㄢˋ　ㄅㄧㄥ　ㄅㄨˊ　ㄉㄨㄥˋ
按部就班,ㄢˋ　ㄅㄨˋ　ㄐㄧㄡˋ　ㄅㄢ
按圖索驥,ㄢˋ　ㄊㄨˊ　ㄙㄨㄛˇ　ㄐㄧˋ
按捺不住,ㄢˋ　ㄋㄚˋ　ㄅㄨˋ　ㄓㄨˋ　（變）ㄢˋ　ㄋㄚˋ　ㄅㄨˊ　ㄓㄨˋ
按鈴申告,ㄢˋ　ㄌㄧㄥˊ　ㄕㄣ　ㄍㄠˋ
案牘勞形,ㄢˋ　ㄉㄨˊ　ㄌㄠˊ　ㄒㄧㄥˊ
暗箭難防,ㄢˋ　ㄐㄧㄢˋ　ㄋㄢˊ　ㄈㄤˊ
暗吃一驚,ㄢˋ　ㄔ　ㄧ　ㄐㄧㄥ　（變）ㄢˋ　ㄔ　ㄧˋ　ㄐㄧㄥ
暗潮洶湧,ㄢˋ　ㄔㄠˊ　ㄒㄩㄥ　ㄩㄥˇ
暗室不欺,ㄢˋ　ㄕˋ　ㄅㄨˋ　ㄑㄧ
暗自竊喜,ㄢˋ　ㄗˋ　ㄑㄧㄝˋ　ㄒㄧˇ
暗藏玄機,ㄢˋ　ㄘㄤˊ　ㄒㄩㄢˊ　ㄐㄧ
暗無天日,ㄢˋ　ㄨˊ　ㄊㄧㄢ　ㄖˋ
黯然失色,ㄢˋ　ㄖㄢˊ　ㄕ　ㄙㄜˋ
黯然神傷,ㄢˋ　ㄖㄢˊ　ㄕㄣˊ　ㄕㄤ
恩斷義絕,ㄣ　ㄉㄨㄢˋ　ㄧˋ　ㄐㄩㄝˊ
恩給制,ㄣ　ㄐㄧˇ　ㄓˋ
恩將仇報,ㄣ　ㄐㄧㄤ　ㄔㄡˊ　ㄅㄠˋ
恩威並濟,ㄣ　ㄨㄟ　ㄅㄧㄥˋ　ㄐㄧˋ
恩威並用,ㄣ　ㄨㄟ　ㄅㄧㄥˋ　ㄩㄥˋ
昂首闊步,ㄤˊ　ㄕㄡˇ　ㄎㄨㄛˋ　ㄅㄨˋ
而立之年,ㄦˊ　ㄌㄧˋ　ㄓ　ㄋㄧㄢˊ
兒童福利,ㄦˊ　ㄊㄨㄥˊ　ㄈㄨˊ　ㄌㄧˋ
兒童樂園,ㄦˊ　ㄊㄨㄥˊ　ㄌㄜˋ　ㄩㄢˊ
兒童受虐,ㄦˊ　ㄊㄨㄥˊ　ㄕㄡˋ　ㄋㄩㄝˋ
兒童文學,ㄦˊ　ㄊㄨㄥˊ　ㄨㄣˊ　ㄒㄩㄝˊ
兒化音,ㄦ　ㄏㄨㄚˋ　ㄧㄣ
耳邊風,ㄦˇ　ㄅㄧㄢ　ㄈㄥ
耳鬢廝磨,ㄦˇ　ㄅㄧㄣˋ　ㄙ　ㄇㄛˊ
耳目一新,ㄦˇ　ㄇㄨˋ　ㄧ　ㄒㄧㄣ　（變）ㄦˇ　ㄇㄨˋ　ㄧˋ　ㄒㄧㄣ
耳朵軟,ㄦˇ　ㄉㄨㄛˇ　ㄖㄨㄢˇ　（變）ㄦˇ　˙ㄉㄨㄛ　ㄖㄨㄢˇ
耳提面命,ㄦˇ　ㄊㄧˊ　ㄇㄧㄢˋ　ㄇㄧㄥˋ
耳聽八方,ㄦˇ　ㄊㄧㄥ　ㄅㄚ　ㄈㄤ
耳根軟,ㄦˇ　ㄍㄣ　ㄖㄨㄢˇ
耳刮子,ㄦˇ　ㄍㄨㄚ　˙ㄗ
耳熟能詳,ㄦˇ　ㄕㄡˊ　ㄋㄥˊ　ㄒㄧㄤˊ
耳順之年,ㄦˇ　ㄕㄨㄣˋ　ㄓ　ㄋㄧㄢˊ
耳濡目染,ㄦˇ　ㄖㄨˊ　ㄇㄨˋ　ㄖㄢˇ
耳聰目明,ㄦˇ　ㄘㄨㄥ　ㄇㄨˋ　ㄇㄧㄥˊ
爾虞我詐,ㄦˇ　ㄩˊ　ㄨㄛˇ　ㄓㄚˋ
二八佳人,ㄦˋ　ㄅㄚ　ㄐㄧㄚ　ㄖㄣˊ
二百五,ㄦˋ　ㄅㄞˇ　ㄨˇ
二房東,ㄦˋ　ㄈㄤˊ　ㄉㄨㄥ
二郎腿,ㄦˋ　ㄌㄤˊ　ㄊㄨㄟˇ
二郎神,ㄦˋ　ㄌㄤˊ　ㄕㄣˊ
二愣子,ㄦˋ　ㄌㄥˋ　˙ㄗ
二輪電影,ㄦˋ　ㄌㄨㄣˊ　ㄉㄧㄢˋ　ㄧㄥˇ
二哥大,ㄦˋ　ㄍㄜ　ㄉㄚˋ
二行程,ㄦˋ　ㄒㄧㄥˊ　ㄔㄥˊ
二十四節氣,ㄦˋ　ㄕˊ　ㄙˋ　ㄐㄧㄝˊ　ㄑㄧˋ
二手貨,ㄦˋ　ㄕㄡˇ　ㄏㄨㄛˋ
二手傳播,ㄦˋ　ㄕㄡˇ　ㄔㄨㄢˊ　ㄅㄛˋ
二手煙,ㄦˋ　ㄕㄡˇ　ㄧㄢ
二次大戰,ㄦˋ　ㄘˋ　ㄉㄚˋ　ㄓㄢˋ
二次全倒,ㄦˋ　ㄘˋ　ㄑㄩㄢˊ　ㄉㄠˇ
二二八事件,ㄦˋ　ㄦˋ　ㄅㄚ　ㄕˋ　ㄐㄧㄢˋ
二氧化錳,ㄦˋ　ㄧㄤˇ　ㄏㄨㄚˋ　ㄇㄥˇ
二氧化碳,ㄦˋ　ㄧㄤˇ　ㄏㄨㄚˋ　ㄊㄢˋ
二氧化硫,ㄦˋ　ㄧㄤˇ　ㄏㄨㄚˋ　ㄌㄧㄡˊ
一把罩,ㄧ　ㄅㄚˇ　ㄓㄠˋ　（變）ㄧˋ　ㄅㄚˇ　ㄓㄠˋ
一把抓,ㄧ　ㄅㄚˇ　ㄓㄨㄚ　（變）ㄧˋ　ㄅㄚˇ　ㄓㄨㄚ
一波三折,ㄧ　ㄅㄛ　ㄙㄢ　ㄓㄜˊ　（變）ㄧˋ　ㄅㄛ　ㄙㄢ　ㄓㄜˊ
一敗塗地,ㄧ　ㄅㄞˋ　ㄊㄨˊ　ㄉㄧˋ　（變）ㄧˊ　ㄅㄞˋ　ㄊㄨˊ　ㄉㄧˋ
一輩子,ㄧ　ㄅㄟˋ　˙ㄗ　（變）ㄧˊ　ㄅㄟˋ　˙ㄗ
一飽眼福,ㄧ　ㄅㄠˇ　ㄧㄢˇ　ㄈㄨˊ　（變）ㄧˋ　ㄅㄠˇ　ㄧㄢˇ　ㄈㄨˊ
一般性,ㄧ　ㄅㄢ　ㄒㄧㄥˋ　（變）ㄧˋ　ㄅㄢ　ㄒㄧㄥˋ
一般而言,ㄧ　ㄅㄢ　ㄦˊ　ㄧㄢˊ　（變）ㄧˋ　ㄅㄢ　ㄦˊ　ㄧㄢˊ
一板一眼,ㄧ　ㄅㄢˇ　ㄧ　ㄧㄢˇ　（變）ㄧˋ　ㄅㄢˇ　ㄧˋ　ㄧㄢˇ
一本正經,ㄧ　ㄅㄣˇ　ㄓㄥˋ　ㄐㄧㄥ　（變）ㄧˋ　ㄅㄣˇ　ㄓㄥˋ　ㄐㄧㄥ
一本初衷,ㄧ　ㄅㄣˇ　ㄔㄨ　ㄓㄨㄥ　（變）ㄧˋ　ㄅㄣˇ　ㄔㄨ　ㄓㄨㄥ
一本萬利,ㄧ　ㄅㄣˇ　ㄨㄢˋ　ㄌㄧˋ　（變）ㄧˋ　ㄅㄣˇ　ㄨㄢˋ　ㄌㄧˋ
一鼻孔出氣,ㄧ　ㄅㄧˊ　ㄎㄨㄥˇ　ㄔㄨ　ㄑㄧˋ　（變）ㄧˋ　ㄅㄧˊ　ㄎㄨㄥˇ　ㄔㄨ　ㄑㄧˋ
一筆勾銷,ㄧ　ㄅㄧˇ　ㄍㄡ　ㄒㄧㄠ　（變）ㄧˋ　ㄅㄧˇ　ㄍㄡ　ㄒㄧㄠ
一臂之力,ㄧ　ㄅㄧˋ　ㄓ　ㄌㄧˋ　（變）ㄧˊ　ㄅㄧˋ　ㄓ　ㄌㄧˋ
一表人才,ㄧ　ㄅㄧㄠˇ　ㄖㄣˊ　ㄘㄞˊ　（變）ㄧˋ　ㄅㄧㄠˇ　ㄖㄣˊ　ㄘㄞˊ
一病不起,ㄧ　ㄅㄧㄥˋ　ㄅㄨˋ　ㄑㄧˇ　（變）ㄧˊ　ㄅㄧㄥˋ　ㄅㄨˋ　ㄑㄧˇ
一步步,ㄧ　ㄅㄨˋ　ㄅㄨˋ　（變）ㄧˊ　ㄅㄨˋ　ㄅㄨˋ
一步登天,ㄧ　ㄅㄨˋ　ㄉㄥ　ㄊㄧㄢ　（變）ㄧˊ　ㄅㄨˋ　ㄉㄥ　ㄊㄧㄢ
一部分,ㄧ　ㄅㄨˋ　ㄈㄣˋ　（變）ㄧˊ　ㄅㄨˋ　ㄈㄣˋ
一不小心,ㄧ　ㄅㄨˋ　ㄒㄧㄠˇ　ㄒㄧㄣ　（變）ㄧˊ　ㄅㄨˋ　ㄒㄧㄠˇ　ㄒㄧㄣ
一不做二不休,ㄧ　ㄅㄨˋ　ㄗㄨㄛˋ　ㄦˋ　ㄅㄨˋ　ㄒㄧㄡ　（變）ㄧ　ㄅㄨˊ　ㄗㄨㄛˋ　ㄦˋ　ㄅㄨˋ　ㄒㄧㄡ
一拍即合,ㄧ　ㄆㄞ　ㄐㄧˊ　ㄏㄜˊ　（變）ㄧˋ　ㄆㄞ　ㄐㄧˊ　ㄏㄜˊ
一派胡言,ㄧ　ㄆㄞˋ　ㄏㄨˊ　ㄧㄢˊ　（變）ㄧˊ　ㄆㄞˋ　ㄏㄨˊ　ㄧㄢˊ
一炮而紅,ㄧ　ㄆㄠˋ　ㄦˊ　ㄏㄨㄥˊ　（變）ㄧˊ　ㄆㄠˋ　ㄦˊ　ㄏㄨㄥˊ
一盤散沙,ㄧ　ㄆㄢˊ　ㄙㄢˇ　ㄕㄚ　（變）ㄧˋ　ㄆㄢˊ　ㄙㄢˇ　ㄕㄚ
一貧如洗,ㄧ　ㄆㄧㄣˊ　ㄖㄨˊ　ㄒㄧˇ　（變）ㄧˋ　ㄆㄧㄣˊ　ㄖㄨˊ　ㄒㄧˇ
一曝十寒,ㄧ　ㄆㄨˋ　ㄕˊ　ㄏㄢˊ　（變）ㄧˊ　ㄆㄨˋ　ㄕˊ　ㄏㄢˊ
一馬當先,ㄧ　ㄇㄚˇ　ㄉㄤ　ㄒㄧㄢ　（變）ㄧˋ　ㄇㄚˇ　ㄉㄤ　ㄒㄧㄢ
一模一樣,ㄧ　ㄇㄛˊ　ㄧ　ㄧㄤˋ　（變）ㄧˋ　ㄇㄛˊ　ㄧˊ　ㄧㄤˋ
一脈相承,ㄧ　ㄇㄞˋ　ㄒㄧㄤ　ㄔㄥˊ　（變）ㄧˊ　ㄇㄞˋ　ㄒㄧㄤ　ㄔㄥˊ
一脈相傳,ㄧ　ㄇㄞˋ　ㄒㄧㄤ　ㄔㄨㄢˊ　（變）ㄧˊ　ㄇㄞˋ　ㄒㄧㄤ　ㄔㄨㄢˊ
一毛不拔,ㄧ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ　（變）ㄧˋ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ
一毛錢,ㄧ　ㄇㄠˊ　ㄑㄧㄢˊ　（變）ㄧˋ　ㄇㄠˊ　ㄑㄧㄢˊ
一面倒,ㄧ　ㄇㄧㄢˋ　ㄉㄠˇ　（變）ㄧˊ　ㄇㄧㄢˋ　ㄉㄠˇ
一面之詞,ㄧ　ㄇㄧㄢˋ　ㄓ　ㄘˊ　（變）ㄧˊ　ㄇㄧㄢˋ　ㄓ　ㄘˊ
一面之緣,ㄧ　ㄇㄧㄢˋ　ㄓ　ㄩㄢˊ　（變）ㄧˊ　ㄇㄧㄢˋ　ㄓ　ㄩㄢˊ
一鳴驚人,ㄧ　ㄇㄧㄥˊ　ㄐㄧㄥ　ㄖㄣˊ　（變）ㄧˋ　ㄇㄧㄥˊ　ㄐㄧㄥ　ㄖㄣˊ
一命嗚呼,ㄧ　ㄇㄧㄥˋ　ㄨ　ㄏㄨ　（變）ㄧˊ　ㄇㄧㄥˋ　ㄨ　ㄏㄨ
一目了然,ㄧ　ㄇㄨˋ　ㄌㄧㄠˇ　ㄖㄢˊ　（變）ㄧˊ　ㄇㄨˋ　ㄌㄧㄠˇ　ㄖㄢˊ
一目十行,ㄧ　ㄇㄨˋ　ㄕˊ　ㄏㄤˊ　（變）ㄧˊ　ㄇㄨˋ　ㄕˊ　ㄏㄤˊ
一發不可收拾,ㄧ　ㄈㄚ　ㄅㄨˋ　ㄎㄜˇ　ㄕㄡ　ㄕˊ　（變）ㄧˋ　ㄈㄚ　ㄅㄨˋ　ㄎㄜˇ　ㄕㄡ　ㄕˊ
一飛沖天,ㄧ　ㄈㄟ　ㄔㄨㄥ　ㄊㄧㄢ　（變）ㄧˋ　ㄈㄟ　ㄔㄨㄥ　ㄊㄧㄢ
一帆風順,ㄧ　ㄈㄢˊ　ㄈㄥ　ㄕㄨㄣˋ　（變）ㄧˋ　ㄈㄢˊ　ㄈㄥ　ㄕㄨㄣˋ
一飯千金,ㄧ　ㄈㄢˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）ㄧˊ　ㄈㄢˋ　ㄑㄧㄢ　ㄐㄧㄣ
一分一毫,ㄧ　ㄈㄣ　ㄧ　ㄏㄠˊ　（變）ㄧˋ　ㄈㄣ　ㄧˋ　ㄏㄠˊ
一分子,ㄧ　ㄈㄣˋ　ㄗˇ　（變）ㄧˊ　ㄈㄣˋ　ㄗˇ
一夫當關，萬夫莫敵,ㄧ　ㄈㄨ　ㄉㄤ　ㄍㄨㄢ　ㄨㄢˋ　ㄈㄨ　ㄇㄛˋ　ㄉㄧˊ
