字詞名,注音一式
莫逆之交,ㄇㄛˋ　ㄋㄧˋ　ㄓ　ㄐㄧㄠ
莫名其妙,ㄇㄛˋ　ㄇㄧㄥˊ　ㄑㄧˊ　ㄇㄧㄠˋ
陌生人,ㄇㄛˋ　ㄕㄥ　ㄖㄣˊ
沒齒難忘,ㄇㄛˋ　ㄔˇ　ㄋㄢˊ　ㄨㄤˋ
沒奈何,ㄇㄛˋ　ㄋㄞˋ　ㄏㄜˊ
沒沒無聞,ㄇㄛˋ　ㄇㄛˋ　ㄨˊ　ㄨㄣˊ
秣馬厲兵,ㄇㄛˋ　ㄇㄚˇ　ㄌㄧˋ　ㄅㄧㄥ
茉莉花,ㄇㄛˋ　ㄌㄧˋ　ㄏㄨㄚ
模稜兩可,ㄇㄛˊ　ㄌㄥˊ　ㄌㄧㄤˇ　ㄎㄜˇ
模特兒,ㄇㄛˊ　ㄊㄜˋ　ㄦˊ
模範生,ㄇㄛˊ　ㄈㄢˋ　ㄕㄥ
魔術數字,ㄇㄛˊ　ㄕㄨˋ　ㄕㄨˋ　ㄗˋ
磨杵成針,ㄇㄛˊ　ㄔㄨˇ　ㄔㄥˊ　ㄓㄣ
摩崖石刻,ㄇㄛˊ　ㄧㄞˊ　ㄕˊ　ㄎㄜˋ
摩拳擦掌,ㄇㄛˊ　ㄑㄩㄢˊ　ㄘㄚ　ㄓㄤˇ
摩肩擦踵,ㄇㄛˊ　ㄐㄧㄢ　ㄘㄚ　ㄓㄨㄥˇ
摩肩接踵,ㄇㄛˊ　ㄐㄧㄢ　ㄐㄧㄝ　ㄓㄨㄥˇ
摩根史坦利指數,ㄇㄛˊ　ㄍㄣ　ㄕˇ　ㄊㄢˇ　ㄌㄧˋ　ㄓˇ　ㄕㄨˋ
摩托車,ㄇㄛˊ　ㄊㄨㄛ　ㄔㄜ
摩天樓,ㄇㄛˊ　ㄊㄧㄢ　ㄌㄡˊ
摩門教,ㄇㄛˊ　ㄇㄣˊ　ㄐㄧㄠˋ
摸不清,ㄇㄛ　ㄅㄨˋ　ㄑㄧㄥ
摸不著,ㄇㄛ　ㄅㄨˋ　ㄓㄠˊ
馬首是瞻,ㄇㄚˇ　ㄕㄡˇ　ㄕˋ　ㄓㄢ
馬戲團,ㄇㄚˇ　ㄒㄧˋ　ㄊㄨㄢˊ
馬後炮,ㄇㄚˇ　ㄏㄡˋ　ㄆㄠˋ
馬口鐵,ㄇㄚˇ　ㄎㄡˇ　ㄊㄧㄝˇ
馬革裹屍,ㄇㄚˇ　ㄍㄜˊ　ㄍㄨㄛˇ　ㄕ
馬鈴薯,ㄇㄚˇ　ㄌㄧㄥˊ　ㄕㄨˇ
馬拉松,ㄇㄚˇ　ㄌㄚ　ㄙㄨㄥ
